Entity,Vendor,Category,Tender Number,Start Date,End Date,Awarded Date,Awarded Amount
Nova Scotia Health Authority,Medline Industries Inc.,Medical Supplies,NSHA-2024-0142,2024-04-01,2026-03-31,2024-03-15,4850000.00
Department of Public Works,Dexter Construction Company Limited,Road Construction,DPW-2024-0031,2024-05-01,2025-10-31,2024-04-22,12340000.00
Nova Scotia Health Authority,GE Healthcare Canada Inc.,Medical Equipment,NSHA-2024-0089,2024-07-01,2029-06-30,2024-06-18,2175000.00
Department of Education,Johnson Controls Canada LP,HVAC Maintenance,DOE-2024-0055,2024-09-01,2027-08-31,2024-08-10,890000.00
Nova Scotia Community College,Sodexo Canada Ltd.,Food Services,NSCC-2024-0012,2024-09-01,2027-08-31,2024-08-02,3600000.00
Department of Natural Resources,Stantec Consulting Ltd.,Environmental Assessment,DNR-2024-0078,2024-06-01,2025-05-31,2024-05-20,425000.00
Nova Scotia Health Authority,Aramark Canada Ltd.,Laundry Services,NSHA-2024-0201,2024-10-01,2027-09-30,2024-09-14,1920000.00
Department of Transportation and Infrastructure Renewal,Miller Paving Limited,Asphalt Supply,DTIR-2024-0019,2024-04-15,2025-04-14,2024-04-05,8760000.00
Nova Scotia Power Inc.,ABB Inc.,Electrical Equipment,NSP-2024-0044,2024-08-01,2026-07-31,2024-07-11,2340000.00
Department of Justice,G4S Secure Solutions (Canada) Ltd.,Security Services,DOJ-2024-0008,2024-04-01,2027-03-31,2024-03-18,1560000.00
Nova Scotia Health Authority,Baxter Corporation Canada,Pharmaceutical Supplies,NSHA-2024-0155,2024-04-01,2025-03-31,2024-03-28,6700000.00
Department of Public Works,WSP Canada Inc.,Engineering Consulting,DPW-2024-0067,2024-06-01,2026-05-31,2024-05-27,780000.00
Halifax Regional Municipality,Atlantic Infrastructure Management Inc.,Waste Management,HRM-2024-0034,2024-07-01,2027-06-30,2024-06-14,5400000.00
Department of Agriculture,AGRIS Co-operative Ltd.,Agricultural Supplies,DOA-2024-0021,2024-04-01,2025-03-31,2024-03-22,345000.00
Nova Scotia Community College,Colt Technology Services,IT Infrastructure,NSCC-2024-0038,2024-08-01,2026-07-31,2024-07-19,1230000.00
Cape Breton Regional Municipality,Scotia Fuels,Fuel Supply,CBRM-2024-0011,2024-04-01,2025-03-31,2024-03-25,890000.00
Department of Health and Wellness,Deloitte LLP,Management Consulting,DHW-2024-0016,2024-05-01,2025-04-30,2024-04-26,675000.00
Nova Scotia Health Authority,Steris Corporation,Sterilization Equipment,NSHA-2024-0223,2024-11-01,2029-10-31,2024-10-08,3450000.00
Department of Education,Bell Canada,Telecommunications,DOE-2024-0041,2024-04-01,2027-03-31,2024-03-20,2100000.00
Nova Scotia Power Inc.,Quanta Services Inc.,Transmission Line Maintenance,NSP-2024-0061,2024-07-15,2027-07-14,2024-07-02,9870000.00
Department of Natural Resources,SNC-Lavalin Inc.,Dam Safety Assessment,DNR-2024-0093,2024-09-01,2025-08-31,2024-08-22,560000.00
Halifax Regional Municipality,Dillon Consulting Limited,Planning Services,HRM-2024-0052,2024-06-01,2025-11-30,2024-05-28,310000.00
Nova Scotia Health Authority,Siemens Healthineers,Imaging Equipment,NSHA-2024-0177,2024-12-01,2029-11-30,2024-11-15,5900000.00
Department of Finance,KPMG LLP,Audit Services,DOF-2024-0003,2024-04-01,2026-03-31,2024-03-17,490000.00
Department of Communities Culture and Heritage,Turner Drake & Partners Ltd.,Property Appraisal,DCCH-2024-0007,2024-05-01,2025-04-30,2024-04-30,185000.00
Nova Scotia Community College,Maple Leaf Foods Inc.,Food Supply,NSCC-2024-0045,2024-09-01,2025-08-31,2024-08-15,420000.00
Department of Transportation and Infrastructure Renewal,Parsons Inc.,Bridge Inspection,DTIR-2024-0029,2024-07-01,2026-06-30,2024-06-21,940000.00
Cape Breton Regional Municipality,Clarke Inc.,Waste Removal,CBRM-2024-0018,2024-05-01,2027-04-30,2024-04-19,1780000.00
Department of Public Works,EllisDon Corporation,Building Renovation,DPW-2024-0083,2024-08-01,2025-07-31,2024-07-25,14500000.00
Nova Scotia Health Authority,Cardinal Health Canada Inc.,Medical Devices,NSHA-2024-0241,2024-12-15,2027-12-14,2024-12-02,2800000.00
