Fiscal Year,Zone,Zone Name,Beneficiaries,Claims Count,Total Cost of Claims,Total Government Expenditure,Claims per Beneficiary,Government Expenditure per Beneficiary
2019-2020,1,Central Zone,378420,4821034,312450000.00,248960000.00,12.74,657.90
2019-2020,2,Northern Zone,98340,1124560,68900000.00,54320000.00,11.43,552.42
2019-2020,3,Eastern Zone,87210,982340,61250000.00,48760000.00,11.26,559.12
2019-2020,4,Western Zone,159870,1876540,118340000.00,93450000.00,11.74,584.54
2020-2021,1,Central Zone,381050,5012340,334200000.00,267890000.00,13.15,702.98
2020-2021,2,Northern Zone,99120,1178900,73650000.00,58400000.00,11.89,589.18
2020-2021,3,Eastern Zone,88040,1034120,66780000.00,53100000.00,11.75,603.13
2020-2021,4,Western Zone,161230,1953420,126900000.00,100540000.00,12.11,623.60
2021-2022,1,Central Zone,384100,5210340,358700000.00,287240000.00,13.57,747.82
2021-2022,2,Northern Zone,99880,1221450,78200000.00,62180000.00,12.23,622.58
2021-2022,3,Eastern Zone,88920,1078230,71340000.00,56890000.00,12.12,639.79
2021-2022,4,Western Zone,162780,2034560,136200000.00,108120000.00,12.50,664.52
2022-2023,1,Central Zone,388200,5398760,385600000.00,308850000.00,13.91,795.61
2022-2023,2,Northern Zone,100640,1268900,84100000.00,67180000.00,12.61,667.57
2022-2023,3,Eastern Zone,89760,1119870,76800000.00,61380000.00,12.48,683.89
2022-2023,4,Western Zone,164530,2118340,146500000.00,116960000.00,12.87,710.86
2023-2024,1,Central Zone,392340,5590230,414300000.00,331900000.00,14.25,846.28
2023-2024,2,Northern Zone,101430,1316700,90200000.00,72180000.00,12.98,711.58
2023-2024,3,Eastern Zone,90580,1162350,82500000.00,66060000.00,12.83,729.35
2023-2024,4,Western Zone,166280,2202890,157400000.00,125940000.00,13.25,757.54
2024-2025,1,Central Zone,396500,5782100,445100000.00,356700000.00,14.58,899.62
2024-2025,2,Northern Zone,102210,1365400,96800000.00,77590000.00,13.36,759.14
2024-2025,3,Eastern Zone,91410,1205670,88600000.00,71000000.00,13.19,776.73
2024-2025,4,Western Zone,168020,2289430,169100000.00,135420000.00,13.62,806.00
