Year,Municipality,Municipality Type,Total Revenue,Total Expenditure,Net Surplus Deficit,Tax Revenue,Grants Revenue,Other Revenue,General Government,Protective Services,Transportation,Environmental,Recreation Culture,Other Expenditure
2023,Halifax Regional Municipality,Regional Municipality,1245678000,1198342000,47336000,934512000,187345000,123821000,112340000,245670000,289450000,198230000,187650000,165002000
2023,Cape Breton Regional Municipality,Regional Municipality,389234000,381456000,7778000,278345000,78234000,32655000,42340000,89450000,98230000,67450000,54280000,29706000
2023,Kings County,County,112345000,108234000,4111000,87654000,16789000,7902000,11230000,24560000,28430000,18450000,16230000,9334000
2023,Lunenburg County,County,78234000,75678000,2556000,59870000,12340000,6024000,7890000,17450000,19230000,12340000,11230000,7538000
2023,Antigonish Town,Town,34567000,33890000,677000,26780000,5890000,1897000,3450000,7890000,8230000,5670000,4890000,3760000
2023,Truro Town,Town,67890000,65430000,2460000,52340000,10230000,5320000,6780000,14560000,17230000,11230000,9870000,5760000
2023,New Glasgow Town,Town,45670000,44230000,1440000,35670000,7230000,2770000,4560000,9870000,11230000,7890000,6780000,3900000
2023,Amherst Town,Town,38920000,37680000,1240000,30120000,6230000,2570000,3890000,8450000,9870000,6780000,5670000,3020000
2023,Bridgewater Town,Town,29870000,28930000,940000,23120000,4890000,1860000,2980000,6450000,7560000,4890000,4230000,2820000
2023,Yarmouth Town,Town,31450000,30120000,1330000,24350000,5120000,1980000,3140000,6780000,7890000,5120000,4450000,2740000
2022,Halifax Regional Municipality,Regional Municipality,1187654000,1143230000,44424000,892340000,178560000,116754000,107890000,234560000,276540000,189230000,179450000,155560000
2022,Cape Breton Regional Municipality,Regional Municipality,371230000,364560000,6670000,265230000,75230000,30770000,40450000,85670000,93450000,64320000,51890000,28780000
2022,Kings County,County,107890000,104230000,3660000,83450000,16120000,8320000,10780000,23450000,27120000,17670000,15560000,9650000
2022,Lunenburg County,County,74560000,72130000,2430000,57120000,11780000,5660000,7560000,16670000,18340000,11780000,10670000,7110000
2022,Truro Town,Town,64560000,62340000,2220000,49870000,9780000,4910000,6450000,13890000,16450000,10670000,9450000,5430000
2021,Halifax Regional Municipality,Regional Municipality,1123450000,1087230000,36220000,849230000,169780000,104440000,102340000,223450000,262340000,180120000,170230000,148750000
2021,Cape Breton Regional Municipality,Regional Municipality,354560000,348230000,6330000,252340000,72120000,30100000,38450000,81230000,88900000,61120000,49340000,29190000
2021,Kings County,County,103450000,100120000,3330000,80230000,15450000,7770000,10340000,22450000,25890000,16890000,14890000,9660000
